filename,line_number,comment
spreed_repo\appinfo\routes\routesRoomController.php,37,
spreed_repo\appinfo\routes\routesRoomController.php,39,
spreed_repo\appinfo\routes\routesRoomController.php,41,
spreed_repo\appinfo\routes\routesRoomController.php,43,
spreed_repo\appinfo\routes\routesRoomController.php,45,
spreed_repo\appinfo\routes\routesRoomController.php,47,
spreed_repo\appinfo\routes\routesRoomController.php,49,
spreed_repo\appinfo\routes\routesRoomController.php,51,
spreed_repo\appinfo\routes\routesRoomController.php,53,
spreed_repo\appinfo\routes\routesRoomController.php,55,
spreed_repo\appinfo\routes\routesRoomController.php,57,
spreed_repo\appinfo\routes\routesRoomController.php,59,
spreed_repo\appinfo\routes\routesRoomController.php,61,
spreed_repo\appinfo\routes\routesRoomController.php,63,
spreed_repo\appinfo\routes\routesRoomController.php,67,
spreed_repo\appinfo\routes\routesRoomController.php,69,
spreed_repo\appinfo\routes\routesRoomController.php,71,
spreed_repo\appinfo\routes\routesRoomController.php,73,
spreed_repo\appinfo\routes\routesRoomController.php,75,
spreed_repo\appinfo\routes\routesRoomController.php,77,
spreed_repo\appinfo\routes\routesRoomController.php,79,
spreed_repo\appinfo\routes\routesRoomController.php,81,
spreed_repo\appinfo\routes\routesRoomController.php,83,
spreed_repo\appinfo\routes\routesRoomController.php,85,
spreed_repo\appinfo\routes\routesRoomController.php,87,
spreed_repo\appinfo\routes\routesRoomController.php,89,
spreed_repo\appinfo\routes\routesRoomController.php,91,
spreed_repo\appinfo\routes\routesRoomController.php,93,
spreed_repo\appinfo\routes\routesRoomController.php,95,
spreed_repo\appinfo\routes\routesRoomController.php,99,
spreed_repo\appinfo\routes\routesRoomController.php,101,
spreed_repo\appinfo\routes\routesRoomController.php,103,
spreed_repo\appinfo\routes\routesRoomController.php,105,
spreed_repo\appinfo\routes\routesRoomController.php,107,
spreed_repo\appinfo\routes\routesRoomController.php,109,
spreed_repo\appinfo\routes\routesSettingsController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesSettingsController.php,32,
spreed_repo\appinfo\routes\routesSettingsController.php,34,
spreed_repo\appinfo\routes\routesSignalingController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesSignalingController.php,38,
spreed_repo\appinfo\routes\routesSignalingController.php,40,
spreed_repo\appinfo\routes\routesSignalingController.php,44,
spreed_repo\appinfo\routes\routesSignalingController.php,46,
spreed_repo\appinfo\routes\routesSignalingController.php,48,
spreed_repo\appinfo\routes\routesTempAvatarController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesTempAvatarController.php,28,
spreed_repo\appinfo\routes\routesTempAvatarController.php,30,
spreed_repo\docs\Talkbuchet-cli.py,1,#
spreed_repo\docs\Talkbuchet-cli.py,2,"# @copyright Copyright (c) 2022, Daniel Calviño Sánchez (danxuliu@gmail.com)"
spreed_repo\docs\Talkbuchet-cli.py,3,#
spreed_repo\docs\Talkbuchet-cli.py,4,# @license GNU AGPL version 3 or any later version
spreed_repo\docs\Talkbuchet-cli.py,5,#
spreed_repo\docs\Talkbuchet-cli.py,6,# This program is free software: you can redistribute it and/or modify
spreed_repo\docs\Talkbuchet-cli.py,7,# it under the terms of the GNU Affero General Public License as
spreed_repo\docs\Talkbuchet-cli.py,8,"# published by the Free Software Foundation, either version 3 of the"
spreed_repo\docs\Talkbuchet-cli.py,9,"# License, or (at your option) any later version."
spreed_repo\docs\Talkbuchet-cli.py,10,#
spreed_repo\docs\Talkbuchet-cli.py,11,"# This program is distributed in the hope that it will be useful,"
spreed_repo\docs\Talkbuchet-cli.py,12,# but WITHOUT ANY WARRANTY; without even the implied warranty of
spreed_repo\docs\Talkbuchet-cli.py,13,# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
spreed_repo\docs\Talkbuchet-cli.py,14,# GNU Affero General Public License for more details.
spreed_repo\docs\Talkbuchet-cli.py,15,#
spreed_repo\docs\Talkbuchet-cli.py,16,# You should have received a copy of the GNU Affero General Public License
spreed_repo\docs\Talkbuchet-cli.py,17,"# along with this program.  If not, see <http://www.gnu.org/licenses/>."
spreed_repo\docs\Talkbuchet-cli.py,18,#
spreed_repo\docs\Talkbuchet-cli.py,149,"        # Web socket connection is rejected by Firefox with ""Bad request"" if"
spreed_repo\docs\Talkbuchet-cli.py,150,"        # ""Origin"" header is present; logs show:"
spreed_repo\docs\Talkbuchet-cli.py,151,"        # ""The handshake request has incorrect Origin header""."
spreed_repo\docs\Talkbuchet-cli.py,168,"        # Do not return until the existing logs were fetched, except if it is"
spreed_repo\docs\Talkbuchet-cli.py,169,        # taking too long.
spreed_repo\docs\Talkbuchet-cli.py,197,"                # JavaScript timestamps are millisecond based, Python timestamps"
spreed_repo\docs\Talkbuchet-cli.py,198,                # are second based.
spreed_repo\docs\Talkbuchet-cli.py,295,            # The session must be explicitly quit to remove the temporary files
spreed_repo\docs\Talkbuchet-cli.py,296,"            # created in ""/tmp""."
spreed_repo\docs\Talkbuchet-cli.py,314,"        # Headless mode uses a little less memory on each instance, so it is"
spreed_repo\docs\Talkbuchet-cli.py,315,        # specially useful when there are several virtual participants.
spreed_repo\docs\Talkbuchet-cli.py,325,"            # Error messages like ""Failed to fetch"" or crashes when starting the"
spreed_repo\docs\Talkbuchet-cli.py,326,"            # driver are usually caused by not having enough space in ""/dev/shm"""
spreed_repo\docs\Talkbuchet-cli.py,327,"            # or in ""/tmp""."
spreed_repo\docs\Talkbuchet-cli.py,328,"            # Using ""/dev/shm"" provides better performance, but it is not"
spreed_repo\docs\Talkbuchet-cli.py,329,"            # strictly needed, so it can be disabled if there is not enough free"
spreed_repo\docs\Talkbuchet-cli.py,330,            # space. The limit is set to 64 MiB just based on the memory usage
spreed_repo\docs\Talkbuchet-cli.py,331,            # observed during some tests.
spreed_repo\docs\Talkbuchet-cli.py,356,"        # ""webSocketUrl"" is needed for BiDi; this should be set already by"
spreed_repo\docs\Talkbuchet-cli.py,357,"        # default, but just in case."
spreed_repo\docs\Talkbuchet-cli.py,359,"        # In Firefox < 101 BiDi protocol was not enabled by default, although it"
spreed_repo\docs\Talkbuchet-cli.py,360,"        # works fine for getting the logs with Firefox 99, so it is explicitly"
spreed_repo\docs\Talkbuchet-cli.py,361,        # enabled.
spreed_repo\docs\Talkbuchet-cli.py,362,        # https://bugzilla.mozilla.org/show_bug.cgi?id=1753997
spreed_repo\docs\Talkbuchet-cli.py,368,"        # Headless mode uses a little less memory on each instance, so it is"
spreed_repo\docs\Talkbuchet-cli.py,369,        # specially useful when there are several virtual participants.
spreed_repo\docs\Talkbuchet-cli.py,433,        # Real time logs are enabled while the command is being executed.
spreed_repo\docs\Talkbuchet-cli.py,441,            # Give it some time to receive the last real time logs before
spreed_repo\docs\Talkbuchet-cli.py,442,            # disabling them again.
spreed_repo\docs\Talkbuchet-cli.py,470,        # Real time logs are enabled while the command is being executed.
spreed_repo\docs\Talkbuchet-cli.py,475,        # Add an explicit return point at the end of the script if none is
spreed_repo\docs\Talkbuchet-cli.py,476,        # given.
spreed_repo\docs\Talkbuchet-cli.py,480,"        # await is not valid in the root context in Firefox, so the script to be"
spreed_repo\docs\Talkbuchet-cli.py,481,        # executed needs to be wrapped in an async function.
spreed_repo\docs\Talkbuchet-cli.py,484,        # Asynchronous scripts need to explicitly signal that they are finished
spreed_repo\docs\Talkbuchet-cli.py,485,        # by invoking the callback injected as the last argument.
spreed_repo\docs\Talkbuchet-cli.py,486,        # https://www.selenium.dev/documentation/legacy/json_wire_protocol/#sessionsessionidexecute_async
spreed_repo\docs\Talkbuchet-cli.py,492,            # Give it some time to receive the last real time logs before
spreed_repo\docs\Talkbuchet-cli.py,493,            # disabling them again.
spreed_repo\docs\Talkbuchet-cli.py,538,        # Explicitly assign all the needed functions defined in Talkbuchet.js to
spreed_repo\docs\Talkbuchet-cli.py,539,        # the Window object to be able to access them at a later point.
spreed_repo\docs\Talkbuchet-cli.py,566,        # Clear previous logs
spreed_repo\docs\Talkbuchet-cli.py,678,        # Set default values from Talkbuchet.js.
spreed_repo\docs\Talkbuchet-cli.py,764,        # Adjust script timeout to prevent it from ending before the siege has
spreed_repo\docs\Talkbuchet-cli.py,765,        # started.
spreed_repo\docs\Talkbuchet-cli.py,875,        # Fetching a Nextcloud URL in the browser console with a user and an app
spreed_repo\docs\Talkbuchet-cli.py,876,        # token implicitly does a login with that user. Visiting any page in the
spreed_repo\docs\Talkbuchet-cli.py,877,        # Nextcloud server will be done as a logged in user after that.
spreed_repo\docs\Talkbuchet-cli.py,909,"            # If the device selector is shown click on the ""Join call"" button"
spreed_repo\docs\Talkbuchet-cli.py,910,            # in the dialog to actually join the call.
spreed_repo\docs\Talkbuchet-cli.py,961,    # Try to get the browser from the Selenium Docker image.
spreed_repo\docs\Talkbuchet-cli.py,1633,"# Talkbuchet instances should be explicitly deleted before exiting, as if they"
spreed_repo\docs\Talkbuchet-cli.py,1634,# are implicitly deleted while exiting the Selenium driver may not cleanly quit.
spreed_repo\docs\Talkbuchet-run.sh,1,#
spreed_repo\docs\Talkbuchet-run.sh,3,#
spreed_repo\docs\Talkbuchet-run.sh,4,#
spreed_repo\docs\Talkbuchet-run.sh,5,#
spreed_repo\docs\Talkbuchet-run.sh,6,#
spreed_repo\docs\Talkbuchet-run.sh,7,#
spreed_repo\docs\Talkbuchet-run.sh,8,#
spreed_repo\docs\Talkbuchet-run.sh,9,#
spreed_repo\docs\Talkbuchet-run.sh,10,#
spreed_repo\docs\Talkbuchet-run.sh,11,#
spreed_repo\docs\Talkbuchet-run.sh,12,#
spreed_repo\docs\Talkbuchet-run.sh,13,#
spreed_repo\docs\Talkbuchet-run.sh,14,#
spreed_repo\docs\Talkbuchet-run.sh,15,#
spreed_repo\docs\Talkbuchet-run.sh,16,#
spreed_repo\docs\Talkbuchet-run.sh,17,#
spreed_repo\docs\Talkbuchet-run.sh,18,#
spreed_repo\docs\Talkbuchet-run.sh,20,#
spreed_repo\docs\Talkbuchet-run.sh,21,#
spreed_repo\docs\Talkbuchet-run.sh,22,#
spreed_repo\docs\Talkbuchet-run.sh,23,#
spreed_repo\docs\Talkbuchet-run.sh,24,#
spreed_repo\docs\Talkbuchet-run.sh,25,#
spreed_repo\docs\Talkbuchet-run.sh,26,#
spreed_repo\docs\Talkbuchet-run.sh,27,#
spreed_repo\docs\Talkbuchet-run.sh,28,#
spreed_repo\docs\Talkbuchet-run.sh,29,#
spreed_repo\docs\Talkbuchet-run.sh,30,#
spreed_repo\docs\Talkbuchet-run.sh,31,#
spreed_repo\docs\Talkbuchet-run.sh,32,#
spreed_repo\docs\Talkbuchet-run.sh,33,#
spreed_repo\docs\Talkbuchet-run.sh,34,#
spreed_repo\docs\Talkbuchet-run.sh,35,#
spreed_repo\docs\Talkbuchet-run.sh,36,#
spreed_repo\docs\Talkbuchet-run.sh,37,#
spreed_repo\docs\Talkbuchet-run.sh,38,#
spreed_repo\docs\Talkbuchet-run.sh,39,#
spreed_repo\docs\Talkbuchet-run.sh,40,#
spreed_repo\docs\Talkbuchet-run.sh,41,#
spreed_repo\docs\Talkbuchet-run.sh,42,#
spreed_repo\docs\Talkbuchet-run.sh,43,#
spreed_repo\docs\Talkbuchet-run.sh,44,#
spreed_repo\docs\Talkbuchet-run.sh,45,#
spreed_repo\docs\Talkbuchet-run.sh,46,#
spreed_repo\docs\Talkbuchet-run.sh,47,#
spreed_repo\docs\Talkbuchet-run.sh,48,#
spreed_repo\docs\Talkbuchet-run.sh,49,#
spreed_repo\docs\Talkbuchet-run.sh,50,#
spreed_repo\docs\Talkbuchet-run.sh,51,#
spreed_repo\docs\Talkbuchet-run.sh,52,#
spreed_repo\docs\Talkbuchet-run.sh,53,#
spreed_repo\docs\Talkbuchet-run.sh,54,#
spreed_repo\docs\Talkbuchet-run.sh,55,#
spreed_repo\docs\Talkbuchet-run.sh,56,#
spreed_repo\docs\Talkbuchet-run.sh,57,#
spreed_repo\docs\Talkbuchet-run.sh,58,#
spreed_repo\docs\Talkbuchet-run.sh,59,#
spreed_repo\docs\Talkbuchet-run.sh,60,#
spreed_repo\docs\Talkbuchet-run.sh,61,#
spreed_repo\docs\Talkbuchet-run.sh,62,#
spreed_repo\docs\Talkbuchet-run.sh,63,#
spreed_repo\docs\Talkbuchet-run.sh,64,#
spreed_repo\docs\Talkbuchet-run.sh,65,#
spreed_repo\docs\Talkbuchet-run.sh,66,#
spreed_repo\docs\Talkbuchet-run.sh,67,#
spreed_repo\docs\Talkbuchet-run.sh,68,#
spreed_repo\docs\Talkbuchet-run.sh,69,#
spreed_repo\docs\Talkbuchet-run.sh,70,#
spreed_repo\docs\Talkbuchet-run.sh,71,#
spreed_repo\docs\Talkbuchet-run.sh,72,#
spreed_repo\docs\Talkbuchet-run.sh,73,#
spreed_repo\docs\Talkbuchet-run.sh,74,#
spreed_repo\docs\Talkbuchet-run.sh,75,#
spreed_repo\docs\Talkbuchet-run.sh,76,#
spreed_repo\docs\Talkbuchet-run.sh,78,#
spreed_repo\docs\Talkbuchet-run.sh,79,#
spreed_repo\docs\Talkbuchet-run.sh,80,#
spreed_repo\docs\Talkbuchet-run.sh,81,#
spreed_repo\docs\Talkbuchet-run.sh,82,#
spreed_repo\docs\Talkbuchet-run.sh,107,#
spreed_repo\docs\Talkbuchet-run.sh,109,	
spreed_repo\docs\Talkbuchet-run.sh,110,	
spreed_repo\docs\Talkbuchet-run.sh,111,	
spreed_repo\docs\Talkbuchet-run.sh,114,	
spreed_repo\docs\Talkbuchet-run.sh,115,	
spreed_repo\docs\Talkbuchet-run.sh,122,#
spreed_repo\docs\Talkbuchet-run.sh,125,#
spreed_repo\docs\Talkbuchet-run.sh,128,#
spreed_repo\docs\Talkbuchet-run.sh,129,#
spreed_repo\docs\Talkbuchet-run.sh,214,#
spreed_repo\docs\Talkbuchet-run.sh,215,#
spreed_repo\docs\Talkbuchet-run.sh,216,#
spreed_repo\docs\Talkbuchet-run.sh,235,#
spreed_repo\docs\Talkbuchet-run.sh,236,#
spreed_repo\docs\Talkbuchet-run.sh,237,#
spreed_repo\docs\Talkbuchet-run.sh,238,#
spreed_repo\docs\Talkbuchet-run.sh,239,#
spreed_repo\docs\Talkbuchet-run.sh,254,#
spreed_repo\docs\Talkbuchet.js,18,//www.gnu.org/licenses/>.
spreed_repo\docs\Talkbuchet.js,73,//github.com/strukturag/nextcloud-spreed-signaling/blob/a663dd43f90b0876630250012bb716136920fcd3/server.conf.in#L32-L35
spreed_repo\docs\Talkbuchet.js,263,"// Sieges with guest users do not currently work, as they must join the"
spreed_repo\docs\Talkbuchet.js,264,"// conversation to not be kicked out from the signaling server. However, joining"
spreed_repo\docs\Talkbuchet.js,265,// the conversation a second time causes the first guest to be unregistered.
spreed_repo\docs\Talkbuchet.js,266,"// Regular users do not need to join the conversation, so the same user can be"
spreed_repo\docs\Talkbuchet.js,267,// connected several times to the HPB.
spreed_repo\docs\Talkbuchet.js,271,// The conversation token is only strictly needed for guests or if HPB
spreed_repo\docs\Talkbuchet.js,272,// clustering is enabled.
spreed_repo\docs\Talkbuchet.js,275,// Number of streams to send
spreed_repo\docs\Talkbuchet.js,277,// Number of streams to receive
spreed_repo\docs\Talkbuchet.js,291,// To run the script the current page in the browser must be a page of the
spreed_repo\docs\Talkbuchet.js,292,"// target Nextcloud instance, as cross-doman requests are not allowed, so the"
spreed_repo\docs\Talkbuchet.js,293,// host is directly got from the current location.
spreed_repo\docs\Talkbuchet.js,294,//' + window.location.host
spreed_repo\docs\Talkbuchet.js,429,//')) {
spreed_repo\docs\Talkbuchet.js,430,//' + url.slice(8)
spreed_repo\docs\Talkbuchet.js,431,//')) {
spreed_repo\docs\Talkbuchet.js,432,//' + url.slice(7)
spreed_repo\docs\Talkbuchet.js,760,// Brief disconnections are normal and expected; they are only
spreed_repo\docs\Talkbuchet.js,761,// relevant if the connection has not been restored after some
spreed_repo\docs\Talkbuchet.js,762,// seconds.
spreed_repo\docs\Talkbuchet.js,816,// Brief disconnections are normal and expected; they are only
spreed_repo\docs\Talkbuchet.js,817,// relevant if the connection has not been restored after some
spreed_repo\docs\Talkbuchet.js,818,// seconds.
spreed_repo\docs\Talkbuchet.js,831,// The same signaling session can be shared between subscribers to
spreed_repo\docs\Talkbuchet.js,832,// different publishers.
spreed_repo\docs\Talkbuchet.js,868,// Expose publishers to CLI.
spreed_repo\docs\Talkbuchet.js,873,// Expose subscribers to CLI.
spreed_repo\docs\Talkbuchet.js,906,// There will be at most a single audio track.
spreed_repo\docs\Talkbuchet.js,917,// There will be at most a single video track.
spreed_repo\docs\Talkbuchet.js,929,// For simplicity it is assumed that if audio is enabled the audio
spreed_repo\docs\Talkbuchet.js,930,// sender will always be the first one.
spreed_repo\docs\Talkbuchet.js,948,// For simplicity it is assumed that if audio is not enabled the video
spreed_repo\docs\Talkbuchet.js,949,"// sender will always be the first one, otherwise the second one."
spreed_repo\docs\Talkbuchet.js,1104,// Expose virtual participant to CLI.
spreed_repo\docs\Talkbuchet.js,1153,// Data channels are expected to be available for call participants.
spreed_repo\l10n\ar.js,489,"//chrome.google.com/webstore/detail/screensharing-for-nextclo/kepnpjhambipllfmgmbapncekcmabkol)).\n* 🚀 **Integration with other Nextcloud apps** like Files, Contacts and Deck. More to come.\n\nAnd in the works for the [coming versions](https://github.com/nextcloud/spreed/milestones/):\n* ✋ [Federated calls](https://github.com/nextcloud/spreed/issues/21), to call people on other Nextclouds"" : ""الدردشة والفيديو والمؤتمرات الصوتية باستخدام WebRTC * 💬 ** تكامل الدردشة! ** يأتي Nextcloud Talk مع دردشة نصية بسيطة. حيث يسمح لك بمشاركة الملفات من نكست كلاود الخاص بك ومنشن للمشاركين الآخرين. * 👥 ** مكالمات خاصة، جماعية، عامة ومكالمات محمية بكلمة مرور! ** فقط قم بدعوة شخص ما، أو مجموعة كاملة أو أرسل رابطًا عامًا للدعوة إلى المكالمة. 💻 ** مشاركة الشاشة! ** شارك شاشتك مع المشاركين في مكالمتك. ما عليك سوى استخدام Firefox الإصدار 66 (أو أحدث) ، أو Edge أو Chrome 72 (أو الاحدث بالإضافة إلى إمكانية استخدام Chrome 49 ) مع [امتداد Chrome] (https://chrome.google.com/webstore/detail/screensharing-for-nextclo/kepnpjhambipllfmgmbapncekcmabkol ) . * 🚀 ** التكامل مع تطبيقات نكست كلاود الأخرى ** مثل الملفات وجهات الاتصال و Deck، والمزيد مستقبًلا. وفي أعمال [الإصدارات القادمة] (https://github.com/nextcloud/spreed/milestones/): * ✋ [المكالمات الموحدة](https://github.com/nextcloud/spreed/issues/21)، لمكالمة الناس على نكست كلاود الأخرى"","
spreed_repo\l10n\bg.js,585,"//chrome.google.com/webstore/detail/screensharing-for-nextclo/kepnpjhambipllfmgmbapncekcmabkol)).\n* 🚀 **Integration with other Nextcloud apps** like Files, Contacts and Deck. More to come.\n\nAnd in the works for the [coming versions](https://github.com/nextcloud/spreed/milestones/):\n* ✋ [Federated calls](https://github.com/nextcloud/spreed/issues/21), to call people on other Nextclouds"" : ""Чат, видео и аудио-конферентна връзка с помощта на WebRTC\n\n* 💬 **Интегриране на чат!** Nextcloud Talk идва с прост текстов чат. Позволява ви да споделяте файлове от вашия Nextcloud и да споменавате други участници.\n* 👥 **Частни, групови, обществени и защитени с парола обаждания!** Просто поканете някого, цяла група или изпратете публична връзка, за да поканите за разговор.\n* 💻 **Споделяне на екрана!** Споделете екрана си с участниците във вашето обаждане. Просто трябва да използвате Firefox версия 66 (или по-нова), най-новата версия на Edge или Chrome 72 (или по-нова, също така е възможно да използвате Chrome 49 с това [разширение за Chrome](https://chrome.google.com/webstore/detail/screensharing- for-nextclo/kepnpjhambipllfmgmbapncekcmabkol)).\n* 🚀 **Интеграция с други приложения Nextcloud** като Files, Contacts и Deck. Предстои още.\n\nИ в работата за [предстоящите версии](https://github.com/nextcloud/spreed/milestones/):\n* ✋ [Федерирани обаждания](https://github.com/nextcloud/spreed/issues/21), за да се обаждате на хора в други Nextcloud екземпляри "","
spreed_repo\l10n\cs.js,593,"//chrome.google.com/webstore/detail/screensharing-for-nextclo/kepnpjhambipllfmgmbapncekcmabkol)).\n* 🚀 **Integration with other Nextcloud apps** like Files, Contacts and Deck. More to come.\n\nAnd in the works for the [coming versions](https://github.com/nextcloud/spreed/milestones/):\n* ✋ [Federated calls](https://github.com/nextcloud/spreed/issues/21), to call people on other Nextclouds"" : ""Video a audio konference pomocí WebRTC\n\n* 💬 **Integrovaný chat!** Nexcloud Talk obsahuje jednoduchý textový chat. Umožňuje is odkazování na soubory z nexcloudu a odkazování na uživatele.\n* 👥 **Soukromé, skupinové a veřejné hovory!** Stačí jen přizvat někoho, celou skupinu nebo pozvat do hovoru přes veřejný odkaz.\n* 💻 **Sdílení obrazovky!** Sdílejte svou obrazovku s účastníky hovoru. Stačí mít minimálně Firefox 52, nejnovější Edge nebo Chrome 72 (nebo novější, je také možné použít Chrome 49 s tímto [rozšířením pro chrome](https://chrome.google.com/webstore/detail/screensharing-for-nextclo/kepnpjhambipllfmgmbapncekcmabkol)).\n* 🚀 **Napojení na ostatní Nextcloud aplikace!** V tuto chvíli Kontakty, Soubory a Deck – další připravujeme.\n\nPro [příští verze](https://github.com/nextcloud/spreed/milestones/) připravujeme:\n* ✋ [VoIP federované volání](https://github.com/nextcloud/spreed/issues/21), hovory s lidmi na jiných Nextcloud instancích."","
